epoch,loss,accuracy_train,accuracy_test,model
102,0.625806450843811,0.6751111111111111,0.6653333333333333,cnn_1d
103,0.600212812423706,0.6795555555555556,0.632,cnn_1d
104,0.6096578240394592,0.6764444444444444,0.6546666666666666,cnn_1d
105,0.612669050693512,0.6795555555555556,0.6386666666666667,cnn_1d
106,0.602846086025238,0.6773333333333333,0.6586666666666666,cnn_1d
107,0.6059731841087341,0.6853333333333333,0.6466666666666666,cnn_1d
108,0.6188158988952637,0.684,0.652,cnn_1d
109,0.5955550670623779,0.688,0.6546666666666666,cnn_1d
110,0.6201985478401184,0.6768888888888889,0.6466666666666666,cnn_1d
111,0.6214489936828613,0.68,0.6613333333333333,cnn_1d
112,0.6057836413383484,0.6782222222222222,0.648,cnn_1d
113,0.6012841463088989,0.6808888888888889,0.6533333333333333,cnn_1d
114,0.6014212965965271,0.6795555555555556,0.6466666666666666,cnn_1d
115,0.6063353419303894,0.6831111111111111,0.6533333333333333,cnn_1d
116,0.6052351593971252,0.6862222222222222,0.6506666666666666,cnn_1d
117,0.5954461097717285,0.6782222222222222,0.6453333333333333,cnn_1d
118,0.6051044464111328,0.6817777777777778,0.652,cnn_1d
119,0.6195539832115173,0.6813333333333333,0.6506666666666666,cnn_1d
120,0.6042736172676086,0.6795555555555556,0.66,cnn_1d
121,0.6080387234687805,0.6791111111111111,0.6506666666666666,cnn_1d
122,0.5964969992637634,0.6808888888888889,0.6573333333333333,cnn_1d
123,0.6153997182846069,0.6808888888888889,0.644,cnn_1d
124,0.5959697961807251,0.6857777777777778,0.6533333333333333,cnn_1d
125,0.592417299747467,0.6835555555555556,0.6493333333333333,cnn_1d
126,0.6075910925865173,0.6844444444444444,0.652,cnn_1d
127,0.5866926908493042,0.6844444444444444,0.6533333333333333,cnn_1d
128,0.6013733744621277,0.684,0.6466666666666666,cnn_1d
129,0.6141437292098999,0.6857777777777778,0.656,cnn_1d
130,0.5840538740158081,0.68,0.64,cnn_1d
131,0.6030343174934387,0.6826666666666666,0.656,cnn_1d
132,0.6048451662063599,0.68,0.6413333333333333,cnn_1d
133,0.5957245230674744,0.6848888888888889,0.6546666666666666,cnn_1d
134,0.6006588935852051,0.6853333333333333,0.656,cnn_1d
135,0.5980126857757568,0.6893333333333334,0.648,cnn_1d
136,0.6021513938903809,0.6826666666666666,0.6546666666666666,cnn_1d
137,0.588469386100769,0.6857777777777778,0.6453333333333333,cnn_1d
138,0.6055958271026611,0.6862222222222222,0.6533333333333333,cnn_1d
